k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,1,0,76.35%,77.22%,59.86%,61.58%,62.87%,70.63%,73.51%,75.51%,76.95%
90,1,50,77.27%,77.76%,67.1%,64.63%,64.25%,71.95%,75.92%,76.36%,76.61%
90,1,100,76.57%,77.46%,68.59%,63.82%,64.54%,69.05%,73.77%,74.84%,75.0%
90,1,150,76.62%,77.45%,70.48%,65.67%,62.41%,68.22%,71.29%,73.2%,72.66%
90,1,200,76.28%,76.75%,68.07%,64.96%,63.38%,67.05%,71.94%,72.77%,73.82%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,2,0,68.75%,66.35%,49.58%,56.8%,52.19%,63.54%,67.31%,67.67%,70.38%
90,2,50,69.13%,65.37%,55.82%,55.65%,52.37%,58.28%,57.41%,61.79%,63.73%
90,2,100,68.17%,64.82%,57.18%,57.39%,57.38%,61.63%,59.5%,61.07%,62.6%
90,2,150,67.3%,64.0%,55.25%,59.57%,53.1%,66.23%,68.22%,69.85%,71.2%
90,2,200,65.92%,63.72%,58.03%,57.57%,55.74%,62.24%,64.28%,66.6%,66.89%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,3,0,69.5%,70.46%,50.11%,54.66%,55.77%,65.02%,64.34%,66.76%,63.24%
90,3,50,67.01%,67.77%,52.88%,55.81%,56.16%,67.4%,70.25%,68.23%,67.79%
90,3,100,66.79%,66.52%,58.33%,59.48%,56.45%,65.02%,65.96%,66.75%,68.27%
90,3,150,66.07%,66.17%,58.81%,58.34%,57.6%,60.93%,62.43%,64.19%,63.34%
90,3,200,65.42%,66.8%,60.01%,57.22%,55.19%,63.15%,63.9%,66.3%,67.05%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,4,0,70.53%,71.94%,51.25%,57.9%,55.89%,66.52%,70.15%,72.31%,72.45%
90,4,50,69.88%,73.06%,59.81%,59.63%,56.89%,60.65%,65.77%,69.93%,72.42%
90,4,100,67.82%,71.49%,58.86%,59.68%,57.68%,66.19%,71.51%,69.33%,71.88%
90,4,150,68.42%,71.85%,61.39%,59.39%,58.19%,67.19%,68.34%,68.51%,71.28%
90,4,200,68.75%,71.6%,62.18%,64.13%,55.92%,64.88%,66.5%,67.01%,68.25%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,5,0,66.88%,67.25%,48.71%,56.38%,56.4%,62.4%,68.96%,70.31%,72.33%
90,5,50,62.38%,69.67%,51.52%,59.6%,57.54%,65.73%,70.08%,68.71%,69.5%
90,5,100,62.71%,68.96%,49.1%,62.58%,62.21%,66.75%,72.75%,72.92%,71.9%
90,5,150,62.38%,68.21%,52.17%,60.6%,53.29%,69.56%,71.19%,75.21%,73.4%
90,5,200,62.42%,68.58%,51.79%,56.5%,54.85%,69.06%,72.77%,71.96%,73.25%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,6,0,63.79%,65.76%,57.65%,65.27%,58.07%,65.0%,72.05%,75.68%,74.17%
90,6,50,59.7%,62.05%,60.91%,65.76%,58.9%,62.58%,68.43%,68.41%,66.14%
90,6,100,57.88%,58.79%,61.21%,60.83%,61.63%,65.45%,71.88%,69.66%,68.12%
90,6,150,55.98%,57.39%,58.98%,60.3%,57.35%,57.5%,70.32%,66.46%,65.61%
90,6,200,59.47%,58.83%,56.89%,59.51%,58.37%,71.21%,69.17%,70.0%,66.29%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,1,0,75.54%,75.37%,66.53%,64.81%,63.34%,68.35%,73.47%,73.82%,73.86%
180,1,50,75.77%,75.17%,70.33%,65.08%,62.85%,70.07%,72.22%,72.58%,73.38%
180,1,100,75.38%,74.3%,67.76%,65.88%,64.05%,65.99%,68.5%,72.74%,73.4%
180,1,150,74.86%,74.0%,66.72%,63.63%,63.03%,66.2%,68.89%,70.77%,71.46%
180,1,200,74.81%,73.58%,65.14%,64.84%,64.02%,68.1%,70.8%,70.43%,70.88%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,2,0,70.11%,70.76%,61.15%,58.9%,57.43%,61.6%,66.97%,67.12%,68.81%
180,2,50,70.01%,69.05%,64.28%,59.16%,58.12%,64.94%,64.64%,66.25%,67.6%
180,2,100,69.46%,68.38%,63.05%,59.78%,56.76%,63.43%,66.27%,66.8%,67.57%
180,2,150,68.71%,66.75%,61.15%,59.95%,56.12%,60.28%,65.79%,67.72%,67.32%
180,2,200,68.65%,66.19%,61.67%,61.66%,60.0%,63.55%,63.28%,62.83%,64.53%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,3,0,68.55%,70.97%,58.38%,52.7%,52.82%,66.09%,69.29%,69.07%,70.4%
180,3,50,68.01%,71.21%,60.78%,52.8%,53.01%,67.15%,70.2%,69.76%,71.11%
180,3,100,68.3%,71.07%,60.71%,51.27%,54.51%,69.28%,71.28%,69.11%,70.39%
180,3,150,66.68%,70.68%,62.0%,54.42%,55.13%,63.91%,65.45%,66.4%,65.53%
180,3,200,67.27%,70.5%,60.64%,54.0%,54.42%,61.6%,62.96%,64.83%,64.78%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,4,0,75.95%,72.81%,62.23%,62.32%,57.6%,65.53%,66.84%,69.83%,70.64%
180,4,50,73.82%,73.72%,62.7%,62.97%,60.5%,60.93%,68.06%,67.43%,68.38%
180,4,100,73.22%,74.61%,62.28%,60.5%,60.59%,64.26%,65.9%,66.83%,65.97%
180,4,150,73.33%,73.23%,61.51%,62.38%,64.36%,63.23%,65.38%,67.16%,67.54%
180,4,200,72.55%,73.85%,60.15%,61.91%,60.86%,62.28%,64.07%,66.01%,65.41%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,5,0,73.97%,71.01%,63.91%,55.99%,54.32%,67.72%,72.81%,73.24%,72.68%
180,5,50,72.2%,70.77%,70.51%,57.62%,56.96%,67.0%,71.26%,71.89%,75.0%
180,5,100,72.23%,68.7%,70.76%,58.76%,57.09%,70.23%,72.11%,70.93%,70.7%
180,5,150,72.05%,67.84%,71.79%,60.62%,63.26%,62.12%,67.88%,69.17%,72.27%
180,5,200,71.71%,66.22%,69.84%,60.14%,59.28%,68.0%,70.76%,71.26%,71.54%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,6,0,61.92%,60.57%,60.76%,58.75%,60.9%,59.75%,69.68%,69.59%,68.48%
180,6,50,63.44%,60.76%,62.01%,64.03%,64.58%,52.84%,68.89%,70.76%,72.86%
180,6,100,62.44%,58.89%,59.58%,57.71%,62.85%,59.4%,62.57%,67.14%,70.05%
180,6,150,62.5%,60.8%,62.01%,62.71%,62.71%,63.49%,70.03%,67.62%,70.42%
180,6,200,59.83%,59.2%,62.15%,60.21%,57.5%,62.5%,65.3%,64.25%,65.25%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,1,0,75.92%,75.46%,69.64%,65.48%,62.85%,68.98%,70.69%,72.94%,74.16%
365,1,50,75.41%,75.55%,70.02%,66.03%,63.43%,68.67%,72.68%,75.66%,76.32%
365,1,100,75.05%,75.23%,67.49%,66.73%,64.51%,70.18%,73.73%,74.4%,75.92%
365,1,150,75.03%,75.08%,65.25%,65.92%,62.69%,69.31%,72.57%,74.23%,75.31%
365,1,200,74.62%,74.67%,64.47%,65.57%,66.53%,72.14%,75.35%,75.81%,76.6%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,2,0,74.59%,73.63%,66.43%,64.29%,63.81%,69.32%,71.44%,73.48%,72.76%
365,2,50,74.44%,74.25%,65.46%,63.18%,64.94%,68.15%,72.0%,71.94%,73.99%
365,2,100,73.81%,74.91%,65.85%,61.67%,64.61%,66.87%,71.09%,72.35%,74.55%
365,2,150,74.28%,74.85%,64.16%,60.71%,63.94%,67.17%,72.18%,72.16%,72.29%
365,2,200,74.11%,75.25%,61.55%,61.28%,64.98%,68.74%,70.18%,72.87%,74.03%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,3,0,78.03%,78.27%,69.27%,64.81%,63.76%,68.69%,71.79%,73.17%,73.74%
365,3,50,76.44%,78.03%,72.01%,66.27%,64.69%,67.49%,70.05%,73.46%,73.89%
365,3,100,76.5%,76.79%,69.98%,66.45%,64.76%,68.59%,70.15%,73.05%,73.49%
365,3,150,76.02%,77.09%,68.51%,65.46%,65.34%,66.79%,75.05%,76.62%,76.77%
365,3,200,75.69%,76.71%,68.99%,64.48%,68.38%,73.77%,75.6%,77.29%,77.54%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,4,0,78.91%,78.91%,68.55%,63.55%,61.77%,70.64%,73.91%,74.82%,75.55%
365,4,50,77.0%,78.36%,67.86%,60.86%,62.23%,66.14%,69.59%,72.68%,74.09%
365,4,100,77.0%,77.91%,68.91%,60.36%,62.36%,69.14%,73.82%,76.0%,75.05%
365,4,150,76.55%,77.0%,67.0%,62.68%,62.73%,65.82%,64.41%,66.64%,69.18%
365,4,200,76.55%,75.36%,66.59%,60.5%,61.27%,72.68%,76.82%,78.41%,78.5%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,5,0,79.22%,79.06%,73.12%,66.25%,64.38%,74.06%,75.31%,75.62%,75.86%
365,5,50,77.27%,78.44%,71.88%,65.0%,66.88%,73.36%,75.39%,77.27%,76.17%
365,5,100,76.64%,77.11%,71.88%,68.75%,69.38%,72.89%,76.09%,78.05%,80.16%
365,5,150,76.33%,75.78%,68.75%,63.75%,65.62%,74.92%,75.08%,77.42%,75.78%
365,5,200,78.28%,73.83%,71.88%,67.5%,66.25%,73.44%,75.55%,77.5%,77.27%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,6,0,65.1%,63.33%,63.83%,62.0%,64.67%,46.67%,46.27%,50.1%,55.2%
365,6,50,63.2%,60.27%,61.33%,58.5%,60.83%,58.13%,58.67%,61.5%,59.33%
365,6,100,62.3%,59.2%,66.0%,66.83%,64.5%,51.0%,53.1%,55.53%,58.07%
365,6,150,63.5%,58.93%,62.5%,57.83%,58.5%,56.37%,52.67%,53.07%,50.83%
365,6,200,61.9%,60.6%,65.83%,60.33%,60.0%,57.47%,61.5%,61.1%,64.43%
